,ID number,Sales Date,Sellers County of Origin,Sellers State of Origin,Buyers County of Origin,Buyers State of Origin,Slave Name,Sex,Price,lat0,long0,lat1,long1
319,141,1856-12-20,West Carroll,LA,Ascension,LA,Thomas Jefferson,0,1200,32.79248,-91.451998,30.202946,-90.910023
8938,14172,1860-12-21,Sabine,LA,Ascension,LA,Susan,1,800,31.560209,-93.559228,30.202946,-90.910023
5589,6477,1859-04-18,New Orleans,LA,Assumption,LA,Philomene,1,1050,30.068636,-89.939007,29.899884,-91.050528
7120,9410,1860-01-11,New Orleans,LA,Assumption,LA,Giles,1,1300,30.068636,-89.939007,29.899884,-91.050528
8692,13099,1860-09-04,New Orleans,LA,Assumption,LA,Betsey,1,1800,30.068636,-89.939007,29.899884,-91.050528
7128,10447,1860-01-12,New Orleans,LA,Assumption,LA,David Ross,0,1800,30.068636,-89.939007,29.899884,-91.050528
18,1388,1856-10-13,New Orleans,LA,Assumption,LA,July Ann,1,850,30.068636,-89.939007,29.899884,-91.050528
741,1185,1857-02-09,New Orleans,LA,Assumption,LA,Henry,0,1750,30.068636,-89.939007,29.899884,-91.050528
877,1193,1857-02-20,New Orleans,LA,Assumption,LA,Jim,0,1500,30.068636,-89.939007,29.899884,-91.050528
878,1194,1857-02-20,New Orleans,LA,Assumption,LA,Isaac,0,1500,30.068636,-89.939007,29.899884,-91.050528
879,1195,1857-02-20,New Orleans,LA,Assumption,LA,Harbard,0,1500,30.068636,-89.939007,29.899884,-91.050528
880,1196,1857-02-20,New Orleans,LA,Assumption,LA,John,0,1500,30.068636,-89.939007,29.899884,-91.050528
881,1197,1857-02-20,New Orleans,LA,Assumption,LA,Susan,1,1200,30.068636,-89.939007,29.899884,-91.050528
882,1198,1857-02-20,New Orleans,LA,Assumption,LA,Aaron,0,1400,30.068636,-89.939007,29.899884,-91.050528
1230,1357,1857-03-26,New Orleans,LA,Assumption,LA,Rosette,1,800,30.068636,-89.939007,29.899884,-91.050528
1651,3300,1857-05-22,New Orleans,LA,Assumption,LA,Henry,0,1250,30.068636,-89.939007,29.899884,-91.050528
2693,3894,1858-01-28,New Orleans,LA,Assumption,LA,Amanda,1,1700,30.068636,-89.939007,29.899884,-91.050528
2821,6097,1858-02-12,New Orleans,LA,Assumption,LA,Stephan,0,1170,30.068636,-89.939007,29.899884,-91.050528
2880,2965,1858-02-19,New Orleans,LA,Assumption,LA,Helen,1,1100,30.068636,-89.939007,29.899884,-91.050528
3032,3038,1858-03-13,New Orleans,LA,Assumption,LA,Mary,1,600,30.068636,-89.939007,29.899884,-91.050528
3353,3144,1858-04-23,New Orleans,LA,Assumption,LA,Batiste,0,1500,30.068636,-89.939007,29.899884,-91.050528
3354,3145,1858-04-23,New Orleans,LA,Assumption,LA,Clement,0,1630,30.068636,-89.939007,29.899884,-91.050528
3842,7890,1858-08-05,New Orleans,LA,Assumption,LA,Adonis,0,1300,30.068636,-89.939007,29.899884,-91.050528
3993,7952,1858-10-18,New Orleans,LA,Assumption,LA,Rose,1,2300,30.068636,-89.939007,29.899884,-91.050528
4251,5823,1858-12-10,New Orleans,LA,Assumption,LA,John Ranson,0,1450,30.068636,-89.939007,29.899884,-91.050528
4252,5824,1858-12-10,New Orleans,LA,Assumption,LA,Luke Sprigg,0,1450,30.068636,-89.939007,29.899884,-91.050528
4826,8351,1859-02-07,New Orleans,LA,Assumption,LA,John,0,1350,30.068636,-89.939007,29.899884,-91.050528
4879,7175,1859-02-12,New Orleans,LA,Assumption,LA,Lloyd Smithers,0,1600,30.068636,-89.939007,29.899884,-91.050528
4885,6123,1859-02-14,New Orleans,LA,Assumption,LA,Celia,1,1200,30.068636,-89.939007,29.899884,-91.050528
4899,7181,1859-02-14,New Orleans,LA,Assumption,LA,Charity,1,2600,30.068636,-89.939007,29.899884,-91.050528
4902,7203,1859-02-14,New Orleans,LA,Assumption,LA,Hester,1,1275,30.068636,-89.939007,29.899884,-91.050528
4983,7244,1859-02-19,New Orleans,LA,Assumption,LA,Ben/Benjamin,0,1200,30.068636,-89.939007,29.899884,-91.050528
5044,8391,1859-03-03,New Orleans,LA,Assumption,LA,Nelson Hardin,0,1600,30.068636,-89.939007,29.899884,-91.050528
5045,8392,1859-03-03,New Orleans,LA,Assumption,LA,Julianna Jackson,1,1450,30.068636,-89.939007,29.899884,-91.050528
5046,8393,1859-03-03,New Orleans,LA,Assumption,LA,Maria Francis,0,1450,30.068636,-89.939007,29.899884,-91.050528
5293,6444,1859-03-25,New Orleans,LA,Assumption,LA,Isaac,0,1250,30.068636,-89.939007,29.899884,-91.050528
5294,6445,1859-03-25,New Orleans,LA,Assumption,LA,Oscar,0,1275,30.068636,-89.939007,29.899884,-91.050528
5676,8724,1859-04-27,New Orleans,LA,Assumption,LA,Celestin,0,1500,30.068636,-89.939007,29.899884,-91.050528
6517,10264,1859-10-27,New Orleans,LA,Assumption,LA,John,0,900,30.068636,-89.939007,29.899884,-91.050528
6983,9320,1859-12-22,New Orleans,LA,Assumption,LA,Daniel Coal,0,1700,30.068636,-89.939007,29.899884,-91.050528
6984,9321,1859-12-22,New Orleans,LA,Assumption,LA,Lee Coal,0,1700,30.068636,-89.939007,29.899884,-91.050528
6985,9322,1859-12-22,New Orleans,LA,Assumption,LA,Alexander,0,1700,30.068636,-89.939007,29.899884,-91.050528
6986,9323,1859-12-22,New Orleans,LA,Assumption,LA,Peter Smith,0,1700,30.068636,-89.939007,29.899884,-91.050528
6987,9324,1859-12-22,New Orleans,LA,Assumption,LA,Westley Sterling,0,1700,30.068636,-89.939007,29.899884,-91.050528
6988,9325,1859-12-22,New Orleans,LA,Assumption,LA,Nancy Cluts,1,1525,30.068636,-89.939007,29.899884,-91.050528
6989,9326,1859-12-22,New Orleans,LA,Assumption,LA,Mary Pentecost,1,1525,30.068636,-89.939007,29.899884,-91.050528
6990,9327,1859-12-22,New Orleans,LA,Assumption,LA,Betsy Brown,1,1525,30.068636,-89.939007,29.899884,-91.050528
7162,10462,1860-01-16,New Orleans,LA,Assumption,LA,Stephen Jones,0,1650,30.068636,-89.939007,29.899884,-91.050528
7496,11809,1860-02-09,New Orleans,LA,Assumption,LA,Davey,0,1900,30.068636,-89.939007,29.899884,-91.050528
8051,11952,1860-04-26,New Orleans,LA,Assumption,LA,Aimee,1,1200,30.068636,-89.939007,29.899884,-91.050528
8646,12213,1860-08-16,New Orleans,LA,Assumption,LA,Charles,0,650,30.068636,-89.939007,29.899884,-91.050528
8840,13144,1860-11-03,New Orleans,LA,Assumption,LA,Hyacinthe,0,1550,30.068636,-89.939007,29.899884,-91.050528
8961,12370,1861-01-01,New Orleans,LA,Assumption,LA,Rose,1,1600,30.068636,-89.939007,29.899884,-91.050528
9071,12405,1861-02-16,New Orleans,LA,Assumption,LA,Jim,0,1200,30.068636,-89.939007,29.899884,-91.050528
9083,12408,1861-02-19,New Orleans,LA,Assumption,LA,Harvey,0,1275,30.068636,-89.939007,29.899884,-91.050528
9084,12409,1861-02-19,New Orleans,LA,Assumption,LA,Jack Tweet,0,1275,30.068636,-89.939007,29.899884,-91.050528
9085,12410,1861-02-19,New Orleans,LA,Assumption,LA,Ambrose,0,1275,30.068636,-89.939007,29.899884,-91.050528
9086,12411,1861-02-19,New Orleans,LA,Assumption,LA,Henry Hindes,0,1275,30.068636,-89.939007,29.899884,-91.050528
9244,13427,1861-03-25,New Orleans,LA,Assumption,LA,Hester,1,1140,30.068636,-89.939007,29.899884,-91.050528
9261,13346,1861-03-30,New Orleans,LA,Assumption,LA,Florentine,1,650,30.068636,-89.939007,29.899884,-91.050528
9342,13415,1861-04-09,New Orleans,LA,Assumption,LA,Elisa,1,835,30.068636,-89.939007,29.899884,-91.050528
1032,406,1857-03-06,Jefferson,LA,Avoyelles,LA,Lavinia,1,1110,29.5033,-90.036231,31.085094,-91.993798
367,1539,1856-12-27,New Orleans,LA,Avoyelles,LA,Mary,1,1290,30.068636,-89.939007,31.085094,-91.993798
1572,2328,1857-05-13,New Orleans,LA,Avoyelles,LA,Lin,0,1650,30.068636,-89.939007,31.085094,-91.993798
1834,4290,1857-06-19,New Orleans,LA,Avoyelles,LA,Edward,0,1200,30.068636,-89.939007,31.085094,-91.993798
1848,4550,1857-06-23,New Orleans,LA,Avoyelles,LA,Harriett,1,995,30.068636,-89.939007,31.085094,-91.993798
3054,4087,1858-03-16,New Orleans,LA,Avoyelles,LA,Seele,0,1200,30.068636,-89.939007,31.085094,-91.993798
3274,5289,1858-04-10,New Orleans,LA,Avoyelles,LA,Charles,0,1050,30.068636,-89.939007,31.085094,-91.993798
3392,3172,1858-04-28,New Orleans,LA,Avoyelles,LA,Mary Ellen Lewis,1,730,30.068636,-89.939007,31.085094,-91.993798
3393,3173,1858-04-28,New Orleans,LA,Avoyelles,LA,Hiram Palmer,0,1375,30.068636,-89.939007,31.085094,-91.993798
3394,3174,1858-04-28,New Orleans,LA,Avoyelles,LA,George Washington,0,1350,30.068636,-89.939007,31.085094,-91.993798
4152,8033,1858-11-30,New Orleans,LA,Avoyelles,LA,Henry Cooper,0,1430,30.068636,-89.939007,31.085094,-91.993798
4153,8034,1858-11-30,New Orleans,LA,Avoyelles,LA,Washington Beans,0,1375,30.068636,-89.939007,31.085094,-91.993798
4154,8035,1858-11-30,New Orleans,LA,Avoyelles,LA,Bayliss Abanion,0,1410,30.068636,-89.939007,31.085094,-91.993798
4155,8036,1858-11-30,New Orleans,LA,Avoyelles,LA,Henry Young,0,1410,30.068636,-89.939007,31.085094,-91.993798
4701,6030,1859-01-25,New Orleans,LA,Avoyelles,LA,Westly Key,0,1150,30.068636,-89.939007,31.085094,-91.993798
4702,6031,1859-01-25,New Orleans,LA,Avoyelles,LA,John Wallace,0,1650,30.068636,-89.939007,31.085094,-91.993798
4705,7171,1859-01-25,New Orleans,LA,Avoyelles,LA,Matilda Cooper,1,1175,30.068636,-89.939007,31.085094,-91.993798
5052,7331,1859-03-04,New Orleans,LA,Avoyelles,LA,Rachel Clark,1,1425,30.068636,-89.939007,31.085094,-91.993798
5073,8574,1859-03-05,New Orleans,LA,Avoyelles,LA,Felix,0,1100,30.068636,-89.939007,31.085094,-91.993798
5362,6438,1859-03-31,New Orleans,LA,Avoyelles,LA,Lewis,0,1500,30.068636,-89.939007,31.085094,-91.993798
5722,8764,1859-05-04,New Orleans,LA,Avoyelles,LA,Lucie,1,800,30.068636,-89.939007,31.085094,-91.993798
6303,8994,1859-09-13,New Orleans,LA,Avoyelles,LA,Fine / Josephine,1,1250,30.068636,-89.939007,31.085094,-91.993798
6593,10207,1859-11-07,New Orleans,LA,Avoyelles,LA,Isaac,0,850,30.068636,-89.939007,31.085094,-91.993798
7086,9357,1860-01-06,New Orleans,LA,Avoyelles,LA,Edward Chalk,0,1585,30.068636,-89.939007,31.085094,-91.993798
7369,10523,1860-02-01,New Orleans,LA,Avoyelles,LA,Amanda,1,1400,30.068636,-89.939007,31.085094,-91.993798
7408,9572,1860-02-03,New Orleans,LA,Avoyelles,LA,Viana,1,1450,30.068636,-89.939007,31.085094,-91.993798
7502,10607,1860-02-10,New Orleans,LA,Avoyelles,LA,Fanny,1,1550,30.068636,-89.939007,31.085094,-91.993798
7546,9602,1860-02-15,New Orleans,LA,Avoyelles,LA,Lucinda,1,1450,30.068636,-89.939007,31.085094,-91.993798
7716,11776,1860-03-06,New Orleans,LA,Avoyelles,LA,Isham Pollard,0,1700,30.068636,-89.939007,31.085094,-91.993798
7831,11870,1860-03-24,New Orleans,LA,Avoyelles,LA,Jack,0,1400,30.068636,-89.939007,31.085094,-91.993798
7832,11871,1860-03-24,New Orleans,LA,Avoyelles,LA,Dennis McRobert,1,1650,30.068636,-89.939007,31.085094,-91.993798
7833,11872,1860-03-24,New Orleans,LA,Avoyelles,LA,Eddy,1,1500,30.068636,-89.939007,31.085094,-91.993798
9396,13476,1861-04-22,New Orleans,LA,Avoyelles,LA,Rachel Foster,1,1200,30.068636,-89.939007,31.085094,-91.993798
9445,14475,1861-05-17,St. James,LA,Avoyelles,LA,Sarah Armmor,1,1200,30.02482,-90.793956,31.085094,-91.993798
9488,14491,1861-06-06,St. James,LA,Avoyelles,LA,Cynthia,1,900,30.02482,-90.793956,31.085094,-91.993798
9463,14779,1861-05-25,St. John,LA,Avoyelles,LA,Ella,1,900,30.117471,-90.504677,31.085094,-91.993798
9464,14780,1861-05-25,St. John,LA,Avoyelles,LA,Henry,0,900,30.117471,-90.504677,31.085094,-91.993798
4771,6070,1859-02-02,New Orleans,LA,Bienville,LA,Albert,0,490,30.068636,-89.939007,32.344268,-93.061513
875,404,1857-02-20,Jefferson,LA,Bossier,LA,Alexander/ Ellick,0,1400,29.5033,-90.036231,32.696202,-93.617977
1099,1864,1857-03-12,New Orleans,LA,Bossier,LA,Leonine,1,1025,30.068636,-89.939007,32.696202,-93.617977
1119,1326,1857-03-16,New Orleans,LA,Bossier,LA,Willis,0,900,30.068636,-89.939007,32.696202,-93.617977
2312,3753,1857-11-21,New Orleans,LA,Bossier,LA,Marshall,0,1000,30.068636,-89.939007,32.696202,-93.617977
2410,4942,1857-12-15,New Orleans,LA,Bossier,LA,Larry,0,1250,30.068636,-89.939007,32.696202,-93.617977
2411,4943,1857-12-15,New Orleans,LA,Bossier,LA,Wash,0,850,30.068636,-89.939007,32.696202,-93.617977
2412,4944,1857-12-15,New Orleans,LA,Bossier,LA,John,0,1050,30.068636,-89.939007,32.696202,-93.617977
2413,4945,1857-12-15,New Orleans,LA,Bossier,LA,Dick,0,900,30.068636,-89.939007,32.696202,-93.617977
2414,4946,1857-12-15,New Orleans,LA,Bossier,LA,Cecily,1,1200,30.068636,-89.939007,32.696202,-93.617977
2415,4947,1857-12-15,New Orleans,LA,Bossier,LA,Jane,1,850,30.068636,-89.939007,32.696202,-93.617977
2416,4948,1857-12-15,New Orleans,LA,Bossier,LA,Ellen,1,900,30.068636,-89.939007,32.696202,-93.617977
2417,4949,1857-12-15,New Orleans,LA,Bossier,LA,Susan,1,850,30.068636,-89.939007,32.696202,-93.617977
3601,5481,1858-06-01,New Orleans,LA,Bossier,LA,Caroline,1,950,30.068636,-89.939007,32.696202,-93.617977
3602,5482,1858-06-01,New Orleans,LA,Bossier,LA,Mary,1,900,30.068636,-89.939007,32.696202,-93.617977
3603,5483,1858-06-01,New Orleans,LA,Bossier,LA,Margaret,1,850,30.068636,-89.939007,32.696202,-93.617977
5511,7613,1859-04-09,New Orleans,LA,Bossier,LA,Lewis,0,1600,30.068636,-89.939007,32.696202,-93.617977
5512,7614,1859-04-09,New Orleans,LA,Bossier,LA,Henry,0,850,30.068636,-89.939007,32.696202,-93.617977
5513,7615,1859-04-09,New Orleans,LA,Bossier,LA,Ellick,0,850,30.068636,-89.939007,32.696202,-93.617977
5514,7616,1859-04-09,New Orleans,LA,Bossier,LA,Victoria,1,1200,30.068636,-89.939007,32.696202,-93.617977
6796,9184,1859-11-28,New Orleans,LA,Bossier,LA,Joseph Rust,0,1500,30.068636,-89.939007,32.696202,-93.617977
6797,9185,1859-11-28,New Orleans,LA,Bossier,LA,Henry Rust,0,1600,30.068636,-89.939007,32.696202,-93.617977
6798,9186,1859-11-28,New Orleans,LA,Bossier,LA,Luke Nelson,0,1600,30.068636,-89.939007,32.696202,-93.617977
6799,9187,1859-11-28,New Orleans,LA,Bossier,LA,Henry Bransom,0,1550,30.068636,-89.939007,32.696202,-93.617977
6800,9188,1859-11-28,New Orleans,LA,Bossier,LA,Henry Campbell,0,1450,30.068636,-89.939007,32.696202,-93.617977
6801,9189,1859-11-28,New Orleans,LA,Bossier,LA,Richard Turner,0,850,30.068636,-89.939007,32.696202,-93.617977
6802,9190,1859-11-28,New Orleans,LA,Bossier,LA,Charlotte Thompson,1,1450,30.068636,-89.939007,32.696202,-93.617977
6803,9191,1859-11-28,New Orleans,LA,Bossier,LA,Lucinda Jeffries,1,1350,30.068636,-89.939007,32.696202,-93.617977
6804,9192,1859-11-28,New Orleans,LA,Bossier,LA,Mary Bonapart,1,1400,30.068636,-89.939007,32.696202,-93.617977
6805,9193,1859-11-28,New Orleans,LA,Bossier,LA,Betty White,1,1400,30.068636,-89.939007,32.696202,-93.617977
6806,9194,1859-11-28,New Orleans,LA,Bossier,LA,Jane Miller,1,875,30.068636,-89.939007,32.696202,-93.617977
2418,4950,1857-12-15,New Orleans,LA,Caddo,LA,Hillary,0,1000,30.068636,-89.939007,32.577195,-93.882423
2419,4951,1857-12-15,New Orleans,LA,Caddo,LA,Dave,0,1100,30.068636,-89.939007,32.577195,-93.882423
2420,4952,1857-12-15,New Orleans,LA,Caddo,LA,Margaret,1,1200,30.068636,-89.939007,32.577195,-93.882423
3431,3222,1858-05-06,New Orleans,LA,Caddo,LA,Becky,1,1075,30.068636,-89.939007,32.577195,-93.882423
4749,8302,1859-01-28,New Orleans,LA,Caddo,LA,Victorine,1,1100,30.068636,-89.939007,32.577195,-93.882423
5211,6377,1859-03-18,New Orleans,LA,Caddo,LA,Joe,0,1300,30.068636,-89.939007,32.577195,-93.882423
5212,6378,1859-03-18,New Orleans,LA,Caddo,LA,Sally,1,1300,30.068636,-89.939007,32.577195,-93.882423
5213,6379,1859-03-18,New Orleans,LA,Caddo,LA,Martha,1,1300,30.068636,-89.939007,32.577195,-93.882423
5214,6380,1859-03-18,New Orleans,LA,Caddo,LA,Mason,0,1300,30.068636,-89.939007,32.577195,-93.882423
5215,6381,1859-03-18,New Orleans,LA,Caddo,LA,Dinah,1,1300,30.068636,-89.939007,32.577195,-93.882423
5285,6391,1859-03-25,New Orleans,LA,Caddo,LA,John Wesley,0,1400,30.068636,-89.939007,32.577195,-93.882423
5735,10783,1859-05-05,New Orleans,LA,Caddo,LA,Elisa Briscre,1,1250,30.068636,-89.939007,32.577195,-93.882423
5736,10784,1859-05-05,New Orleans,LA,Caddo,LA,George Martin,0,1235,30.068636,-89.939007,32.577195,-93.882423
673,1029,1857-02-03,New Orleans,LA,Caddo,LA,Thomas,0,200,30.068636,-89.939007,32.577195,-93.882423
2655,2759,1858-01-21,New Orleans,LA,Caddo,LA,Thomas Miller,0,1050,30.068636,-89.939007,32.577195,-93.882423
2656,2760,1858-01-21,New Orleans,LA,Caddo,LA,Perry Heard,0,1150,30.068636,-89.939007,32.577195,-93.882423
2657,2761,1858-01-21,New Orleans,LA,Caddo,LA,Jacob Yankee,0,1050,30.068636,-89.939007,32.577195,-93.882423
2658,2762,1858-01-21,New Orleans,LA,Caddo,LA,Aquilla Hansin,0,900,30.068636,-89.939007,32.577195,-93.882423
2659,2763,1858-01-21,New Orleans,LA,Caddo,LA,Micheal Brown,0,1050,30.068636,-89.939007,32.577195,-93.882423
2660,2764,1858-01-21,New Orleans,LA,Caddo,LA,John Winchester,0,1050,30.068636,-89.939007,32.577195,-93.882423
2661,2765,1858-01-21,New Orleans,LA,Caddo,LA,Robert McDaniel,0,1100,30.068636,-89.939007,32.577195,-93.882423
2662,2766,1858-01-21,New Orleans,LA,Caddo,LA,David Ross,0,1150,30.068636,-89.939007,32.577195,-93.882423
2663,2767,1858-01-21,New Orleans,LA,Caddo,LA,Sholt Hill,0,900,30.068636,-89.939007,32.577195,-93.882423
2664,2768,1858-01-21,New Orleans,LA,Caddo,LA,Edward Wall,0,1100,30.068636,-89.939007,32.577195,-93.882423
2665,2769,1858-01-21,New Orleans,LA,Caddo,LA,Henry Windson,0,1000,30.068636,-89.939007,32.577195,-93.882423
2666,2770,1858-01-21,New Orleans,LA,Caddo,LA,James Jenkins,0,1000,30.068636,-89.939007,32.577195,-93.882423
2669,2758,1858-01-22,New Orleans,LA,Caddo,LA,Honore,0,700,30.068636,-89.939007,32.577195,-93.882423
3004,5203,1858-03-06,New Orleans,LA,Caddo,LA,Ellen,1,1100,30.068636,-89.939007,32.577195,-93.882423
141,35,1856-11-15,Assumption,LA,Calcasieu,LA,Aline,1,800,30.202946,-90.910023,30.229559,-93.358015
1526,4489,1857-05-06,New Orleans,LA,Calcasieu,LA,Johnson,0,800,30.068636,-89.939007,30.229559,-93.358015
3138,4180,1858-03-26,New Orleans,LA,Caldwell,LA,William Dickson,0,1450,30.068636,-89.939007,32.101244,-92.11418
3139,4181,1858-03-26,New Orleans,LA,Caldwell,LA,Mary Catherine Lucas,1,1100,30.068636,-89.939007,32.101244,-92.11418
4711,6032,1859-01-26,New Orleans,LA,Caldwell,LA,Ransom,0,1000,30.068636,-89.939007,32.101244,-92.11418
1134,1291,1857-03-18,New Orleans,LA,Caldwell,LA,Adililne,1,1100,30.068636,-89.939007,32.101244,-92.11418
656,1033,1857-01-31,New Orleans,LA,Catahoula,LA,Mahaley,1,1150,30.068636,-89.939007,31.666517,-91.846703
746,1071,1857-02-10,New Orleans,LA,Catahoula,LA,Daniel,0,1425,30.068636,-89.939007,31.666517,-91.846703
747,1072,1857-02-10,New Orleans,LA,Catahoula,LA,Green,0,1425,30.068636,-89.939007,31.666517,-91.846703
1104,1869,1857-03-13,New Orleans,LA,Catahoula,LA,John,0,1100,30.068636,-89.939007,31.666517,-91.846703
2975,2982,1858-03-03,New Orleans,LA,Catahoula,LA,Rachel,1,1400,30.068636,-89.939007,31.666517,-91.846703
4491,5946,1859-01-10,New Orleans,LA,Catahoula,LA,Ann,1,1150,30.068636,-89.939007,31.666517,-91.846703
5216,7432,1859-03-18,New Orleans,LA,Catahoula,LA,Peter Honacker,0,1600,30.068636,-89.939007,31.666517,-91.846703
5360,8585,1859-03-30,New Orleans,LA,Catahoula,LA,Lewis,0,1250,30.068636,-89.939007,31.666517,-91.846703
6519,9068,1859-10-28,New Orleans,LA,Catahoula,LA,Henry Harris,0,1700,30.068636,-89.939007,31.666517,-91.846703
6524,10163,1859-10-28,New Orleans,LA,Catahoula,LA,Harriet Royster,1,1700,30.068636,-89.939007,31.666517,-91.846703
6977,10307,1859-12-21,New Orleans,LA,Catahoula,LA,John Jackson,0,1775,30.068636,-89.939007,31.666517,-91.846703
6978,10308,1859-12-21,New Orleans,LA,Catahoula,LA,Alexander Stevens,0,1725,30.068636,-89.939007,31.666517,-91.846703
7823,13506,1860-03-22,New Orleans,LA,Catahoula,LA,Julia,1,1100,30.068636,-89.939007,31.666517,-91.846703
7989,12660,1860-04-14,New Orleans,LA,Catahoula,LA,Thomas,0,1200,30.068636,-89.939007,31.666517,-91.846703
1402,2216,1857-04-21,New Orleans,LA,Claiborne,LA,David,0,950,30.068636,-89.939007,32.827585,-92.991125
1403,2217,1857-04-21,New Orleans,LA,Claiborne,LA,Caroline,1,1175,30.068636,-89.939007,32.827585,-92.991125
3527,5427,1858-05-24,New Orleans,LA,Claiborne,LA,Johnny,0,680,30.068636,-89.939007,32.827585,-92.991125
4905,7252,1859-02-14,New Orleans,LA,Claiborne,LA,Adeline,1,1250,30.068636,-89.939007,32.827585,-92.991125
7864,12595,1860-03-28,New Orleans,LA,Claiborne,LA,Marie Louise,1,600,30.068636,-89.939007,32.827585,-92.991125
505,918,1857-01-16,New Orleans,LA,Concordia,LA,Amanuel,0,1600,30.068636,-89.939007,31.469806,-91.626314
506,919,1857-01-16,New Orleans,LA,Concordia,LA,John,0,1600,30.068636,-89.939007,31.469806,-91.626314
4276,8108,1858-12-13,New Orleans,LA,Concordia,LA,Sandy,0,1225,30.068636,-89.939007,31.469806,-91.626314
4903,7206,1859-02-14,New Orleans,LA,Concordia,LA,Bella,1,4050,30.068636,-89.939007,31.469806,-91.626314
